Rank,Release Group,Worldwide,Domestic,%,Foreign,%
135,Earwig and the Witch,"$410,398","$173,704",42.3%,"$236,694",57.7%
136,My Salinger Year,"$393,306","$54,730",13.9%,"$338,576",86.1%
137,The Seventh Day,"$369,774",-,-,"$369,774",100%
138,Russian Yug,"$348,435",-,-,"$348,435",100%
139,The Emperor's New Groove 2021 Re-release,"$334,000","$334,000",100%,-,-
140,Occupation: Rainfall,"$331,091",-,-,"$331,091",100%
141,Dutch,"$323,167","$323,167",100%,-,-
142,Ascendant,"$314,999",-,-,"$314,999",100%
143,Four Good Days,"$303,000","$303,000",100%,-,-
144,Kabadadaari,"$302,563",-,-,"$302,563",100%
145,Abominable 2021 Re-release,"$299,679","$110,000",36.7%,"$189,679",63.3%
146,Birth Time: the documentary,"$296,921",-,-,"$296,921",100%
147,Dawn Raid,"$292,930",-,-,"$292,930",100%
148,Ginger's Tale,"$284,298",-,-,"$284,298",100%
149,Don't Heal Me,"$282,513",-,-,"$282,513",100%
150,American Skin,"$282,332","$282,332",100%,-,-
151,Hidden Figures 2021 Re-release,"$268,295",-,-,"$268,295",100%
152,The Only Way Out,"$266,801",-,-,"$266,801",100%
153,The Funeral Home,"$259,184",-,-,"$259,184",100%
154,Cosmic Sin,"$250,334",-,-,"$250,334",100%
155,Demon Hunter,"$241,024",-,-,"$241,024",100%
156,Young Adult Matters,"$236,428",-,-,"$236,428",100%
157,Vellam,"$233,364",-,-,"$233,364",100%
158,Sultan,"$232,111",-,-,"$232,111",100%
159,Kto-nibud videl moyu devchonku?,"$231,092",-,-,"$231,092",100%
160,Be My Kirill,"$204,850",-,-,"$204,850",100%
161,"Have Fun, Vasya! Date in Bali","$199,291",-,-,"$199,291",100%
162,SAS: Red Notice,"$198,432","$146,329",73.7%,"$52,103",26.3%
163,Go Back,"$190,002",-,-,"$190,002",100%
164,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
165,Kill It and Leave This Town,"$183,771",-,-,"$183,771",100%
166,Sound of Metal,"$181,421",-,-,"$181,421",100%
167,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
168,Wings 2,"$170,752",-,-,"$170,752",100%
169,The Lord of the Rings: The Return of the King 2021 Re-release,"$166,473",-,-,"$166,473",100%
170,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
171,The Reckoning,"$163,594","$143,532",87.7%,"$20,062",12.3%
172,Minamata,"$159,491",-,-,"$159,491",100%
173,Every Breath You Take,"$157,930",-,-,"$157,930",100%
174,The United States vs. Billie Holiday,"$156,032",-,-,"$156,032",100%
175,Scarecrow,"$153,514",-,-,"$153,514",100%
176,Shades of the Heart,"$148,997",-,-,"$148,997",100%
177,Song Song,"$148,199",-,-,"$148,199",100%
178,Blind,"$147,131",-,-,"$147,131",100%
179,Food Club,"$139,223",-,-,"$139,223",100%
180,No Man's Land,"$139,221","$139,221",100%,-,-
181,Held,"$131,925","$131,925",100%,-,-
182,Mulholland Dr. 2020 Re-release,"$129,379",-,-,"$129,379",100%
183,Anything for Jackson,"$119,567",-,-,"$119,567",100%
184,Gunda,"$118,274","$62,633",53%,"$55,641",47%
185,Jurassic World 2021 Re-release,"$115,000","$115,000",100%,-,-
186,The World to Come,"$114,379","$114,379",100%,-,-
187,Rang De,"$113,975",-,-,"$113,975",100%
188,Our Friend 2021 Re-release,"$112,084",-,-,"$112,084",100%
189,The Priest,"$110,855",-,-,"$110,855",100%
190,Redemption Day,"$106,365",-,-,"$106,365",100%
191,The Wishmas Tree 2021 Re-release,"$104,176",-,-,"$104,176",100%
192,From the Vine,"$100,783",-,-,"$100,783",100%
193,Safer at Home,"$100,323","$95,643",95.3%,"$4,680",4.7%
194,The Resort,"$95,000","$95,000",100%,-,-
195,Breaking News in Yuba County,"$90,933",-,-,"$90,933",100%
196,Limbo,"$90,000","$90,000",100%,-,-
197,Khara Khaar,"$89,983",-,-,"$89,983",100%
198,Kieu,"$89,973",-,-,"$89,973",100%
199,Hvernig á að vera Klassa Drusla,"$87,215",-,-,"$87,215",100%
200,Breakout Brothers,"$85,037",-,-,"$85,037",100%
201,Todo Lo Invisible,"$80,703",-,-,"$80,703",100%
202,Shiva Baby,"$79,071","$79,071",100%,-,-
203,Nightmare Cinema 2021 Re-release,"$77,817",-,-,"$77,817",100%
204,Belleville Cop 2021 Re-release,"$77,657",-,-,"$77,657",100%
205,My Missing Valentine,"$74,787",-,-,"$74,787",100%
206,Russia from Above,"$74,630",-,-,"$74,630",100%
207,Simple Passion,"$72,358",-,-,"$72,358",100%
208,Mick Fleetwood & Friends celebrate the music of Peter Green,"$72,113",-,-,"$72,113",100%
209,Son,"$69,739","$55,068",79%,"$14,671",21%
210,Masha,"$66,309",-,-,"$66,309",100%
211,One,"$65,665",-,-,"$65,665",100%
212,Remember the Titans 2021 Re-release,"$65,000","$65,000",100%,-,-
213,All U Need Is Love,"$63,718",-,-,"$63,718",100%
214,Come True,"$62,080","$62,080",100%,-,-
215,Kala,"$60,895",-,-,"$60,895",100%
216,Haunted,"$59,796",-,-,"$59,796",100%
217,Reel Rock 15,"$56,819",-,-,"$56,819",100%
218,Nayattu,"$53,976",-,-,"$53,976",100%
219,Sing 2021 Re-release,"$53,462","$53,000",99.1%,$462,0.9%
220,Dara of Jasenovac,"$52,786","$52,786",100%,-,-
221,The Wall of Shadows,"$52,104",-,-,"$52,104",100%
222,My Zoe,"$51,808","$51,808",100%,-,-
223,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$50,509",-,-,"$50,509",100%
224,Days of the Bagnold Summer,"$50,118",-,-,"$50,118",100%
225,Women,"$49,057",-,-,"$49,057",100%
226,Last Call,"$48,144","$48,144",100%,-,-
227,Adventures of Rufus: The Fantastic Pet,"$47,330",-,-,"$47,330",100%
228,Kieu @,"$46,763",-,-,"$46,763",100%
229,Maledetto Modigliani,"$46,035",-,-,"$46,035",100%
230,MLK/FBI,"$45,200","$45,200",100%,-,-
231,A Distant Place 2021 Re-release,"$44,768",-,-,"$44,768",100%
232,Harry Potter and the Deathly Hallows: Part 1 2021 Re-release,"$44,240",-,-,"$44,240",100%
233,"Help, I Shrunk My Teacher 2021 Re-release","$43,601",-,-,"$43,601",100%
234,Some Kind of Heaven,"$43,492","$43,492",100%,-,-
235,Harry Potter and the Goblet of Fire 2021 Re-release,"$42,124",-,-,"$42,124",100%
236,Senior Moment,"$41,598","$41,598",100%,-,-
237,Way Back Home,"$39,073",-,-,"$39,073",100%
238,Little Fish,"$39,053","$39,053",100%,-,-
239,10 Things We Should Do Before We Break Up,"$38,362",-,-,"$38,362",100%
240,July Rain 2021 Re-release,"$37,315",-,-,"$37,315",100%
241,Anugraheethan Antony,"$35,224",-,-,"$35,224",100%
242,"Botticelli, Florence And The Medici","$34,113",-,-,"$34,113",100%
243,Yuvarathnaa,"$34,007",-,-,"$34,007",100%
244,The People Upstairs,"$33,404",-,-,"$33,404",100%
245,Honeydew,"$32,890","$32,890",100%,-,-
246,Fighter,"$32,838",-,-,"$32,838",100%
247,Monday,"$30,080","$30,080",100%,-,-
248,Trigger Point,"$29,262","$29,262",100%,-,-
249,The Pinkies Are Back,"$29,058",-,-,"$29,058",100%
250,Golata istina za grupa Zhiguli,"$28,385",-,-,"$28,385",100%
251,Bloody Hell,"$28,037","$28,037",100%,-,-
252,Jakob's Wife,"$27,588","$27,588",100%,-,-
253,Playhouse,"$27,436",-,-,"$27,436",100%
254,Brave Father Online: Our Story of Final Fantasy XIV 2021 Re-release,"$27,203",-,-,"$27,203",100%
255,Daisy Quokka: World's Scariest Animal,"$27,195",-,-,"$27,195",100%
256,The Nose or Conspiracy of Mavericks,"$26,181",-,-,"$26,181",100%
257,The Night,"$26,114","$26,114",100%,-,-
258,The Curse of Audrey Earnshaw,"$25,092",-,-,"$25,092",100%
259,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$24,638",-,-,"$24,638",100%
260,Breaking the Waves 2021 Re-release,"$24,591",-,-,"$24,591",100%
261,Fear of Rain,"$24,565",-,-,"$24,565",100%
262,Vanquish,"$23,346",-,-,"$23,346",100%
263,The Voice of the Moon,"$23,222",-,-,"$23,222",100%
264,Saina,"$22,765",-,-,"$22,765",100%
265,The Redeemers,"$22,283",-,-,"$22,283",100%
266,My Big Mama's Crazy Ride,"$22,004",-,-,"$22,004",100%
267,A Stand Worthy of Men,"$21,799",-,-,"$21,799",100%
268,Never Gonna Snow Again,"$21,538",-,-,"$21,538",100%
269,The Penitent Thief,"$21,507",-,-,"$21,507",100%
270,Big Miracle 2021 Re-release,"$20,846",-,-,"$20,846",100%
271,Korporatsiya Ad Libitum,"$20,779",-,-,"$20,779",100%
272,Kuriyan Jawan Bapu Preshaan,"$19,958",-,-,"$19,958",100%
273,Beyond the Sky,"$19,761",-,-,"$19,761",100%
274,Cortex 2021 Re-release,"$19,748",-,-,"$19,748",100%
275,Kazdy ma swoje lato,"$19,619",-,-,"$19,619",100%
276,Dreamfactory 2021 Re-release,"$18,854",-,-,"$18,854",100%
277,Dead Reckoning,"$18,016",-,-,"$18,016",100%
278,Mystery of the Kingdom of God,"$17,316","$17,316",100%,-,-
279,Silk Road,"$17,065",-,-,"$17,065",100%
280,Raphael: The Young Prodigy,"$16,635",-,-,"$16,635",100%
281,Tintoretto. Il primo regista,"$16,568",-,-,"$16,568",100%
